"Date","Close","Open","High","Low","Vol.","Change "
"11/10/2025","48.00","47.50","48.15","47.50","11.54","1.27"
"11/07/2025","47.40","46.95","47.46","46.95","7.11","0.02"
"11/06/2025","47.39","46.61","47.46","46.61","4.97","1.04"
"11/05/2025","46.90","46.60","48.00","46.60","18.10","1.19"
"11/04/2025","46.35","46.00","46.35","46.00","13.79","0.76"
"11/03/2025","46.00","45.60","46.00","45.60","7.91","0.00"
"10/31/2025","46.00","46.00","46.00","45.51","6.47","0.00"
"10/30/2025","46.00","45.80","46.20","45.80","6.95","0.44"
"10/29/2025","45.80","45.60","45.80","45.31","25.65","0.44"
"10/28/2025","45.60","45.79","45.80","45.31","6.10","-0.44"
"10/27/2025","45.80","45.80","45.80","45.32","3.33","0.22"
"10/24/2025","45.70","45.58","45.98","45.40","2.97","0.71"
"10/23/2025","45.38","45.40","45.40","45.15","4.21","-0.04"
"10/22/2025","45.40","45.50","45.50","45.25","8.31","-0.22"
"10/21/2025","45.50","45.10","45.90","45.02","7.28","-0.87"
"10/20/2025","45.90","45.98","45.98","45.20","4.82","-0.17"
"10/17/2025","45.98","45.99","45.99","45.40","5.38","-0.02"
"10/16/2025","45.99","46.10","46.10","45.80","5.30","-0.43"
"10/14/2025","46.19","46.00","46.30","46.00","23.61","-0.45"
"10/13/2025","46.40","46.30","46.50","45.70","4.58","0.65"
"10/10/2025","46.10","45.65","46.50","45.65","22.68","0.48"
"10/09/2025","45.88","45.90","45.90","45.61","6.79","-0.04"
"10/08/2025","45.90","45.80","45.90","45.50","6.06","0.22"
"10/07/2025","45.80","45.80","45.89","45.65","6.52","0.00"
"10/06/2025","45.80","46.00","46.00","45.60","34.46","-0.43"
"10/03/2025","46.00","46.00","46.00","45.95","4.06","0.00"
"10/02/2025","46.00","46.00","46.00","45.70","4.53","0.00"
"10/01/2025","46.00","46.00","46.00","46.00","2.30","-0.43"
"09/30/2025","46.20","46.70","46.70","45.90","3.62","-0.65"
"09/29/2025","46.50","46.70","46.75","46.50","2.71","-0.43"
"09/26/2025","46.70","46.75","46.75","46.53","1.56","-0.11"
"09/25/2025","46.75","46.90","46.90","46.60","9.21","-0.32"
"09/24/2025","46.90","47.00","47.00","46.60","6.43","0.00"
"09/23/2025","46.90","46.90","46.95","46.90","1.34","-0.19"
"09/22/2025","46.99","47.00","47.20","46.90","4.21","0.19"
"09/19/2025","46.90","46.80","47.00","46.70","18.74","0.21"
"09/18/2025","46.80","47.00","47.00","46.80","16.06","-0.21"
"09/17/2025","46.90","46.80","47.00","46.70","27.66","0.21"
"09/16/2025","46.80","46.55","46.90","46.50","23.96","0.65"
