"Date","Close","Open","High","Low","Vol.","Change"
"01/02/2025","219.94","221.82","222.49","217.60","2.58","0.05"
"01/03/2025","222.65","220.55","223.66","220.55","3.87","1.23"
"01/06/2025","222.67","223.00","224.35","220.75","2.85","0.01"
"01/07/2025","223.96","223.35","226.71","222.83","3.30","0.58"
"01/08/2025","223.18","223.91","224.90","220.83","2.62","-0.35"
"01/10/2025","219.75","222.00","222.43","216.80","3.57","-1.54"
"01/13/2025","217.40","217.89","219.59","214.75","3.72","-1.07"
"01/14/2025","217.75","218.00","218.13","214.61","3.49","0.16"
"01/15/2025","220.03","220.87","221.68","218.01","2.95","1.05"
"01/16/2025","222.66","219.69","222.68","217.38","3.33","1.20"
"01/17/2025","224.79","225.96","225.96","223.64","5.51","0.96"
"01/21/2025","224.26","224.99","227.45","222.83","3.98","-0.24"
"01/22/2025","223.26","221.98","224.40","220.35","4.76","-0.45"
"01/23/2025","226.04","223.94","226.04","223.15","3.62","1.25"
"01/24/2025","224.80","225.27","226.81","223.80","3.23","-0.55"
"01/27/2025","224.13","222.19","224.30","219.84","4.90","-0.30"
"01/28/2025","225.66","224.32","225.77","221.77","4.49","0.68"
"01/29/2025","228.63","225.62","229.47","223.73","7.08","1.32"
"01/30/2025","258.27","250.00","261.80","247.01","15.38","12.96"
"01/31/2025","255.70","256.05","257.23","251.89","7.20","-1.00"
"02/03/2025","260.73","252.40","262.06","251.84","8.41","1.97"
"02/04/2025","264.46","260.00","265.25","258.12","6.08","1.43"
"02/05/2025","263.30","265.71","265.72","261.18","6.17","-0.44"
"02/06/2025","253.44","262.98","263.38","252.73","6.13","-3.74"
"02/07/2025","252.34","255.28","256.93","252.02","3.37","-0.43"
"02/10/2025","249.27","250.86","251.95","246.87","3.56","-1.22"
"02/11/2025","254.70","251.10","256.75","250.58","4.80","2.18"
"02/12/2025","255.81","252.72","256.40","252.02","3.08","0.44"
"02/13/2025","259.19","255.66","259.28","254.41","4.53","1.32"
"02/14/2025","261.28","259.00","261.94","257.91","3.93","0.81"
"02/18/2025","263.07","261.93","263.96","259.83","4.26","0.69"
"02/19/2025","264.32","262.00","264.36","260.09","3.72","0.48"
"02/20/2025","264.74","263.65","265.09","262.15","4.88","0.16"
"02/21/2025","261.48","263.85","264.83","261.10","5.67","-1.23"
"02/24/2025","261.87","261.50","263.85","259.58","4.40","0.15"
"02/25/2025","257.75","261.08","263.48","256.77","6.29","-1.57"
"02/26/2025","255.84","258.10","258.33","254.41","3.46","-0.74"
"02/27/2025","253.23","255.22","257.63","253.05","3.40","-1.02"
"02/28/2025","252.44","250.85","252.81","246.54","7.99","-0.31"
"03/03/2025","250.19","254.74","255.99","248.24","2.98","-0.89"
"03/04/2025","253.21","248.75","255.48","248.10","5.34","1.21"
"03/05/2025","251.35","251.58","252.74","247.01","4.01","-0.73"
"03/06/2025","248.69","249.75","252.10","246.80","3.25","-1.06"
"03/07/2025","261.54","245.95","261.96","245.18","6.70","5.17"
"03/10/2025","256.90","261.56","266.45","254.75","8.17","-1.77"
"03/11/2025","248.95","255.99","256.70","245.86","5.63","-3.09"
"03/12/2025","249.63","250.35","253.13","245.53","3.85","0.27"
"03/13/2025","245.80","248.80","249.27","243.04","3.86","-1.53"
"03/14/2025","248.35","242.74","248.95","241.68","4.05","1.04"
"03/17/2025","252.97","249.25","254.63","249.00","3.23","1.86"
"03/18/2025","246.95","252.51","252.57","245.12","4.17","-2.38"
"03/19/2025","252.29","248.33","253.66","246.64","3.85","2.16"
"03/20/2025","243.32","244.24","246.80","237.22","7.03","-3.56"
"03/21/2025","243.87","241.69","245.21","238.50","9.58","0.23"
"03/24/2025","248.45","247.31","248.82","245.96","4.75","1.88"
"03/25/2025","249.90","248.36","250.90","248.20","3.13","0.58"
"03/26/2025","250.34","251.25","254.32","249.53","4.45","0.18"
"03/27/2025","246.21","249.71","250.30","245.73","2.89","-1.65"
"03/28/2025","244.00","246.27","247.57","242.07","3.13","-0.90"
"03/31/2025","248.66","242.74","250.89","242.49","6.79","1.91"
"04/01/2025","250.34","248.03","250.62","243.49","4.41","0.68"
"04/02/2025","249.98","248.22","252.79","247.23","4.08","-0.14"
"04/03/2025","243.49","242.71","250.61","242.53","5.31","-2.60"
"04/04/2025","227.48","238.00","240.16","226.88","7.41","-6.58"
"04/07/2025","225.78","219.24","232.29","214.50","7.80","-0.75"
"04/08/2025","221.03","232.56","233.05","217.28","6.85","-2.10"
"04/09/2025","235.31","217.12","236.30","215.16","7.30","6.46"
"04/10/2025","229.55","231.00","232.57","222.02","5.66","-2.45"
"04/11/2025","235.48","229.72","237.58","227.51","4.33","2.58"
"04/14/2025","239.06","239.77","241.77","236.73","3.32","1.52"
"04/15/2025","240.70","239.55","241.53","238.27","3.36","0.69"
"04/16/2025","238.57","240.28","243.30","235.89","4.87","-0.88"
"04/17/2025","238.81","239.68","241.77","237.40","4.64","0.10"
"04/21/2025","236.22","238.07","240.80","232.93","4.91","-1.08"
"04/22/2025","240.90","238.50","242.64","238.02","4.23","1.98"
"04/23/2025","245.48","246.00","249.34","243.66","7.95","1.90"
"04/24/2025","229.33","231.18","232.78","224.44","15.43","-6.58"
"04/25/2025","232.41","228.95","233.36","226.32","6.70","1.34"
"04/28/2025","236.16","232.86","236.63","232.07","3.65","1.61"
"04/29/2025","239.39","237.00","239.98","236.14","3.43","1.37"
"04/30/2025","241.82","236.73","242.47","234.34","5.14","1.02"
"05/01/2025","239.66","241.44","242.37","237.95","4.24","-0.89"
"05/02/2025","245.55","243.13","245.69","241.33","3.73","2.46"
"05/05/2025","249.18","243.74","249.80","243.64","4.14","1.48"
"05/06/2025","249.12","247.76","250.19","246.11","2.90","-0.02"
"05/07/2025","253.37","249.45","254.47","248.83","3.40","1.71"
"05/08/2025","254.14","255.00","256.52","253.25","3.64","0.30"
"05/09/2025","249.20","252.51","253.00","247.64","2.90","-1.94"
