"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2024","12.61","12.61","12.61","12.61","0.05K","-3.00%"
"01/03/2024","12.99","12.99","12.99","12.99","1.07K","3.01%"
"01/05/2024","13.00","12.55","13.00","12.55","0.05K","0.08%"
"01/08/2024","12.98","12.98","12.98","12.98","0.05K","-0.15%"
"01/09/2024","12.98","12.98","12.98","12.98","0.02K","0.00%"
"01/10/2024","12.60","12.60","12.60","12.60","8.11K","-2.93%"
"01/11/2024","12.60","12.60","12.60","12.60","0.11K","0.00%"
"01/12/2024","12.61","12.60","12.61","12.60","1.25K","0.08%"
"01/15/2024","13.00","13.00","13.00","13.00","1.55K","3.09%"
"01/17/2024","12.60","12.60","12.60","12.60","0.68K","-3.08%"
"01/18/2024","12.60","12.60","12.60","12.60","0.10K","0.00%"
"01/19/2024","13.00","13.00","13.00","13.00","0.00K","3.17%"
"01/22/2024","12.98","12.98","12.98","12.98","0.00K","-0.15%"
"01/23/2024","12.89","12.89","12.89","12.89","0.05K","-0.69%"
"01/25/2024","12.80","12.80","12.80","12.80","0.50K","-0.70%"
"01/26/2024","12.60","12.60","12.60","12.60","0.00K","-1.56%"
"01/29/2024","12.60","12.60","12.60","12.60","0.00K","0.00%"
"01/30/2024","12.97","12.97","12.97","12.97","0.00K","2.94%"
"02/06/2024","12.95","12.95","12.95","12.95","0.00K","-0.15%"
"02/07/2024","12.64","12.64","12.64","12.64","0.27K","-2.39%"
"02/08/2024","12.94","12.64","12.94","12.64","0.03K","2.37%"
"02/12/2024","12.90","12.90","12.90","12.90","0.40K","-0.31%"
"02/19/2024","12.74","12.74","12.74","12.74","0.03K","-1.24%"
"02/20/2024","12.79","12.61","12.79","12.61","0.87K","0.39%"
"02/21/2024","12.70","12.70","12.70","12.70","0.01K","-0.70%"
"02/22/2024","12.70","12.80","12.80","12.70","0.11K","0.00%"
"02/23/2024","12.73","12.73","12.73","12.73","1.60K","0.24%"
"02/26/2024","12.90","12.80","12.90","12.80","0.89K","1.34%"
"02/27/2024","13.02","12.99","13.02","12.99","2.19K","0.93%"
"02/28/2024","13.17","12.86","13.17","12.86","0.28K","1.15%"
"03/01/2024","13.28","13.28","13.28","13.28","0.64K","0.84%"
"03/04/2024","13.28","13.28","13.28","13.28","0.29K","0.00%"
"03/05/2024","13.50","13.02","13.50","13.02","1.51K","1.66%"
"03/06/2024","13.50","13.60","13.60","13.50","0.37K","0.00%"
"03/07/2024","13.50","13.50","13.50","13.50","1.15K","0.00%"
"03/08/2024","13.53","13.50","13.53","13.50","1.73K","0.22%"
"03/11/2024","13.80","13.80","13.80","13.80","0.60K","2.00%"
"03/12/2024","13.90","13.90","13.90","13.90","1.50K","0.72%"
"03/13/2024","13.60","13.60","13.60","13.60","0.93K","-2.16%"
"03/14/2024","13.90","13.90","13.90","13.90","0.44K","2.21%"
"03/15/2024","13.90","13.90","13.90","13.90","1.13K","0.00%"
"03/18/2024","13.85","13.80","13.85","13.80","0.50K","-0.36%"
"03/21/2024","13.55","13.55","13.55","13.55","0.50K","-2.17%"
"03/22/2024","13.60","13.60","13.60","13.60","0.61K","0.37%"
"03/25/2024","13.74","13.74","13.74","13.74","0.36K","1.03%"
"03/26/2024","13.74","13.74","13.74","13.74","0.90K","0.00%"
"03/27/2024","14.00","13.95","14.00","13.95","1.91K","1.89%"
"03/28/2024","14.36","14.35","14.36","14.35","0.63K","2.57%"
"03/29/2024","14.45","14.40","14.45","14.40","1.36K","0.63%"
"04/01/2024","14.90","14.50","14.90","14.50","1.04K","3.11%"
"04/02/2024","15.00","15.00","15.00","15.00","2.44K","0.67%"
"04/03/2024","15.60","15.20","15.60","15.20","0.80K","4.00%"
"04/04/2024","15.20","15.60","15.60","15.20","150.33K","-2.56%"
"04/05/2024","15.60","15.10","15.60","15.10","6.08K","2.63%"
"04/08/2024","15.60","15.59","15.60","15.59","1.70K","0.00%"
"04/12/2024","15.60","15.60","15.60","15.60","4.76K","0.00%"
"04/15/2024","15.60","15.60","15.60","15.60","4.15K","0.00%"
"04/16/2024","15.60","15.60","15.60","15.60","1.83K","0.00%"
"04/17/2024","15.71","15.70","15.71","15.70","1.12K","0.71%"
"04/18/2024","16.00","15.73","16.00","15.73","0.79K","1.85%"
"04/19/2024","16.20","15.91","16.20","15.91","0.94K","1.25%"
"04/22/2024","16.20","16.20","16.20","16.20","1.51K","0.00%"
"04/23/2024","16.30","16.40","16.40","16.30","0.05K","0.62%"
"04/24/2024","16.20","16.20","16.20","16.20","0.70K","-0.61%"
"04/25/2024","16.20","16.20","16.20","16.20","0.30K","0.00%"
"04/26/2024","16.20","16.20","16.20","16.20","1.40K","0.00%"
"04/29/2024","15.80","15.80","15.80","15.80","1.33K","-2.47%"
"04/30/2024","16.00","15.80","16.00","15.80","0.30K","1.27%"
"05/02/2024","15.71","15.75","15.75","15.71","0.06K","-1.81%"
"05/03/2024","15.14","15.01","15.14","15.01","1.18K","-3.63%"
"05/06/2024","15.15","15.80","15.80","15.15","0.06K","0.07%"
"05/07/2024","15.70","15.80","15.80","15.70","0.18K","3.63%"
"05/08/2024","15.70","16.00","16.00","15.70","0.15K","0.00%"
"05/09/2024","15.70","15.70","15.70","15.70","0.21K","0.00%"
"05/10/2024","15.30","15.70","15.70","15.30","0.35K","-2.55%"
"05/13/2024","15.40","15.85","15.85","15.40","0.31K","0.65%"
"05/14/2024","15.40","15.40","15.40","15.40","3.05K","0.00%"
"05/15/2024","15.30","15.40","15.40","15.30","0.58K","-0.65%"
"05/16/2024","15.30","15.30","15.30","15.30","0.66K","0.00%"
"05/17/2024","14.83","14.00","14.83","14.00","0.85K","-3.07%"
"05/20/2024","14.95","15.00","15.00","14.95","0.06K","0.81%"
"05/21/2024","14.80","14.90","14.90","14.80","0.07K","-1.00%"
"05/22/2024","14.80","14.80","14.80","14.80","2.29K","0.00%"
"05/23/2024","15.00","15.00","15.00","15.00","2.95K","1.35%"
"05/24/2024","14.98","14.98","14.98","14.98","2.08K","-0.13%"
